,City,Country,lat,lon,humidity,max temp,wind speed,cloudiness
0,nikolskoye,ru,59.7,30.79,87,7,2,75
2,hithadhoo,mv,-0.6,73.08,100,27.11,2.06,80
3,dodge city,us,37.75,-100.02,26,21,3.1,1
5,wajid,so,3.81,43.25,82,22.49,2.46,48
7,kuching,my,1.56,110.34,94,24,0.5,75
8,sept-iles,ca,50.2,-66.38,93,4,4.6,90
9,klaksvik,fo,62.23,-6.59,87,9,6.7,68
10,puerto ayora,ec,-0.74,-90.35,61,27,4.1,0
11,ushuaia,ar,-54.81,-68.31,65,8,7.7,40
12,zhuhai,cn,40.71,112.04,73,2,2,20
13,dingle,ie,11,122.67,98,23.51,3.86,20
14,yulara,au,-25.24,130.99,33,14,2.6,0
15,itoman,jp,26.12,127.67,68,22,4.1,20
16,kodiak,us,39.95,-94.76,27,17,8.2,1
17,aroysund,no,59.18,10.46,87,9,3.1,0
18,tahlequah,us,35.92,-94.97,35,22,3.6,1
19,port alfred,za,-33.59,26.89,89,15.61,4.26,88
21,qaanaaq,gl,77.48,-69.36,100,-15.72,6.11,12
22,kidal,ml,18.44,1.41,20,32.34,3.36,76
23,mataura,pf,-46.19,168.86,81,16.76,3.41,48
24,lebu,cl,8.96,38.73,62,12,3.1,20
25,cidreira,br,-30.17,-50.22,80,17.29,3.91,64
26,torbay,ca,47.66,-52.73,75,8,7.7,90
28,airai,pw,-8.93,125.41,87,17.29,0.41,0
30,georgiyevka,kz,52.25,40.45,67,8.26,4.76,56
31,maltahohe,na,-24.83,16.98,30,22.66,3.31,100
32,narsaq,gl,60.91,-46.05,38,-3,4.6,0
33,esperance,au,10.24,-61.45,94,27,2.1,40
34,bluff,nz,-23.58,149.07,84,21.36,4.06,0
35,alofi,nu,-19.06,-169.92,57,25,10.8,75
37,komsomolskiy,ru,67.55,63.78,89,-10.72,2.06,80
38,sao filipe,cv,14.9,-24.5,94,26.79,5.76,0
39,caravelas,br,-17.73,-39.27,100,24.66,11.81,44
40,pacific grove,us,36.62,-121.92,63,26,2.6,1
41,busselton,au,-33.64,115.35,100,16.16,11.16,92
42,hermanus,za,-34.42,19.24,42,15.64,6.01,8
43,manokwari,id,-0.87,134.08,100,26.86,3.31,44
44,east london,za,-33.02,27.91,100,16.79,7.46,80
45,avarua,ck,-21.21,-159.78,64,24,3.6,75
46,barrow,us,-38.31,-60.23,48,18.84,5.36,48
48,punta arenas,cl,-53.16,-70.91,61,10,8.7,0
49,kango,ga,0.19,10.1,98,23.34,1.56,100
50,nelson bay,au,-32.72,152.14,93,18,5.1,90
53,sangre grande,tt,10.59,-61.13,94,27,2.1,40
56,ust-nera,ru,64.57,143.24,95,-21.87,0.96,64
57,bat khela,pk,34.62,71.97,70,7.41,0.96,8
59,abha,sa,18.22,42.5,88,17,2.1,40
60,thompson,ca,55.74,-97.86,67,-5,2.6,90
61,yellowknife,ca,62.45,-114.38,81,4,4.6,75
62,georgetown,sh,6.8,-58.16,100,24,2.1,90
63,vardo,no,39.62,-77.74,48,19,4.1,75
65,hovd,mn,63.83,10.7,57,10,3.1,75
69,talnakh,ru,69.49,88.39,100,-4.09,1.01,88
72,leeuwarden,nl,53.2,5.79,93,14,2.6,75
73,nyagan,ru,62.14,65.43,86,-2.07,4.96,88
75,tharad,in,24.39,71.63,48,21.44,1.51,0
76,atuona,pf,-9.8,-139.03,100,25.76,7.01,80
78,hobart,au,-42.88,147.33,81,8,4.1,20
79,cine,tr,37.61,28.06,88,17,1.5,0
